trust_exp,runoff_bolsonaro,runoff_haddad,vote_haddad,vote_bolsonaro,runoff_nulo,ideo_place_self,positive_partisanship,negative_partisanship,covid_job,covid_health,covid_government,treat_neutral_bolsonaro,treat_neutral_haddad,treat_negative_bolsonaro,treat_negative_haddad,treat_reaction,treat_emotions,control_neutral_bolsonaro,control_neutral_haddad,control_negative_bolsonaro,control_negative_haddad,income,age,gender,work,education,treat_negative,treatment_haddad,treatment_bolsonaro,negative_bolsonaro,neutral_bolsonaro,negative_haddad,neutral_haddad,anti,petistas,nonpartisans
control,On,Off,Off,On,Off,6,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Very Likely,Very Appropriate,0,0,0,0,"""Ignorar”",Enojado,0,0,0,1,4,Entre 46 e 55,Man,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,1,0,0
control,Off,On,Off,Off,Off,2,Democratas (DEM),Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat unlikely,Not Appropriate,0,0,0,0,“Curtir”,Indiferente,0,1,0,0,NA,Entre 36 e 45,Man,Employed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,0
control,On,Off,Off,On,Off,10,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat unlikely,Very Appropriate,0,0,0,0,“Curtir”,Otimista,0,0,1,0,NA,Entre 36 e 45,Feminino,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,0,1,1,0,0,0,1,0,0
control,Off,On,On,Off,Off,0,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Very unlikely,Somewhat Likely,Not Appropriate,0,0,0,0,"“Curtir”,“Retuitar""",Preocupado,0,0,0,1,3,Entre 36 e 45,Feminino,Employed,Pós-graduação,1,1,0,0,0,1,0,0,1,0
treatment,On,Off,Off,Off,Off,10,Nenhum,Partido dos Trabalhadores (PT),Very Likely,Somewhat Likely,Somewhat Appropriate,0,1,0,0,"""Ignorar”",Enojado,0,0,0,0,4,Entre 26 e 35,Feminino,Unemployed,Ensino Superior Incompleto,0,1,0,0,0,0,1,1,0,0
treatment,On,Off,Off,On,Off,10,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Very unlikely,Very unlikely,Very Appropriate,0,0,1,0,"“Retuitar""",Otimista,0,0,0,0,NA,Entre 26 e 35,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,1,0
treatment,Off,On,Off,Off,Off,5,Outro,Não sei,Very Likely,Somewhat Likely,Somewhat Unappropriate,0,0,1,0,"""Ignorar”",Triste,0,0,0,0,4,Entre 26 e 35,Feminino,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,0,1,1,0,0,0,0,0,1
treatment,On,Off,Off,Off,Off,-999,Prefiro Não Responder,Prefiro não Responder,NA,Somewhat unlikely,NA,0,0,1,0,-999,-999,0,0,0,0,1,Entre 18 e 25,Feminino,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,0,1,1,0,0,0,0,0,1
control,On,Off,Off,On,Off,10,Não Sei,Partido dos Trabalhadores (PT),Very Likely,Somewhat Likely,Not Appropriate,0,0,0,0,"""Ignorar”",Contente,1,0,0,0,10,Entre 18 e 25,Man,Unemployed,Segundo Grau/Ensino Médio Incompleto,0,0,1,0,1,0,0,0,0,0
treatment,Off,On,On,Off,Off,2,Nenhum,Todos igualmente,Very unlikely,Somewhat Likely,Not Appropriate,1,0,0,0,“Responder/Reply”,"Irritado,Enojado",0,0,0,0,7,Entre 26 e 35,Man,Employed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,1
control,Off,On,Off,Off,Off,10,Nenhum,Não sei,Very Likely,Very Likely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Triste,0,1,0,0,3,Entre 36 e 45,Feminino,Unemployed,Ensino Superior Incompleto,0,1,0,0,0,0,1,0,0,1
control,Off,On,On,Off,Off,3,Partido dos Trabalhadores (PT),Prefiro não Responder,Somewhat unlikely,Very Likely,Not Appropriate,0,0,0,0,"""Ignorar”",Indiferente,1,0,0,0,3,Entre 18 e 25,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,1,0
treatment,On,Off,Off,On,Off,10,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Very unlikely,Very Appropriate,0,0,0,1,"""Ignorar”",Enojado,0,0,0,0,0,Entre 26 e 35,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,1,0,0
treatment,Off,On,Off,Off,Off,6,Nenhum,Partido Liberal (PL),Somewhat unlikely,Somewhat unlikely,Somewhat Appropriate,0,0,1,0,“Curtir”,Estressado,0,0,0,0,8,Entre 26 e 35,Man,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,0,1,1,0,0,0,0,0,1
control,Off,Off,Off,Off,On,5,Nenhum,Não sei,Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,“Curtir”,Triste,0,0,0,1,4,Entre 26 e 35,Feminino,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,On,On,Off,Off,0,Partido dos Trabalhadores (PT),Partido da Social Democracia (PSDB),Somewhat unlikely,Somewhat Likely,Not Appropriate,0,1,0,0,"“Curtir”,“Responder/Reply”","Contente,Preocupado",0,0,0,0,NA,Entre 26 e 35,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,1,0
treatment,On,Off,Off,On,Off,10,Outro,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Very Appropriate,0,1,0,0,"""Ignorar”",Otimista,0,0,0,0,5,Entre 56 e 65,Man,Unemployed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,0
treatment,On,Off,Off,On,Off,7,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat unlikely,Somewhat Appropriate,0,0,1,0,"“Curtir”,“Retuitar""","Otimista,Preocupado",0,0,0,0,3,Entre 46 e 55,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,1,0,0
treatment,Off,Off,Off,Off,On,2,Nenhum,Não sei,Somewhat unlikely,Somewhat Likely,Somewhat Unappropriate,1,0,0,0,"“Retuitar""",Preocupado,0,0,0,0,3,Entre 26 e 35,Man,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,1
treatment,On,Off,Off,On,Off,10,Nenhum,Partido dos Trabalhadores (PT),Very Likely,Somewhat unlikely,Somewhat Appropriate,0,1,0,0,"""Ignorar”",Enojado,0,0,0,0,4,Entre 18 e 25,Man,Unemployed,Segundo Grau/Ensino Médio Incompleto,0,1,0,0,0,0,1,1,0,0
treatment,Off,On,Off,Off,Off,0,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Very unlikely,Very Likely,Not Appropriate,1,0,0,0,"""Ignorar”",Irritado,0,0,0,0,4,Entre 18 e 25,Man,Unemployed,Segundo Grau/Ensino Médio Incompleto,0,0,1,0,1,0,0,0,1,0
treatment,Off,On,Off,Off,Off,0,Outro,Partido Social Liberal (PSL),Very Likely,Somewhat Likely,Not Appropriate,1,0,0,0,"""Ignorar”","Irritado,Enojado,Preocupado",0,0,0,0,6,Entre 18 e 25,Feminino,Employed,Ensino Superior Completo,0,0,1,0,1,0,0,0,0,1
treatment,Off,Off,Off,Off,On,0,Nenhum,Prefiro não Responder,Very unlikely,Very unlikely,Not Appropriate,1,0,0,0,"""Ignorar”",Irritado,0,0,0,0,6,Entre 26 e 35,Man,Unemployed,Ensino Superior Completo,0,0,1,0,1,0,0,0,0,1
control,Off,On,Off,Off,Off,0,Outro,Partido Social Liberal (PSL),Very unlikely,Somewhat Likely,Not Appropriate,0,0,0,0,“Curtir”,Preocupado,0,1,0,0,3,Entre 18 e 25,Feminino,Unemployed,Ensino Superior Incompleto,0,1,0,0,0,0,1,0,0,1
treatment,Off,Off,Off,Off,On,-999,Nenhum,Todos igualmente,Very Likely,Somewhat unlikely,Somewhat Unappropriate,1,0,0,0,"""Ignorar”",Indiferente,0,0,0,0,7,Entre 26 e 35,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,1
treatment,On,Off,Off,On,Off,10,Partido Social Liberal (PSL),NA,Somewhat Likely,Somewhat Likely,Somewhat Appropriate,1,0,0,0,"“Curtir”,“Retuitar"",“Responder/Reply”",Otimista,0,0,0,0,2,Entre 26 e 35,Man,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,NA
treatment,Off,Off,Off,Off,On,10,Prefiro Não Responder,Não sei,Somewhat Likely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”",Indiferente,0,0,0,0,2,Entre 18 e 25,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
treatment,On,Off,Off,Off,Off,5,Nenhum,Todos igualmente,Somewhat Likely,Somewhat unlikely,NA,0,0,0,1,"""Ignorar”",Preocupado,0,0,0,0,2,Entre 36 e 45,Feminino,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,-999,Nenhum,Prefiro não Responder,Somewhat unlikely,Somewhat Likely,Not Appropriate,0,1,0,0,“Curtir”,Otimista,0,0,0,0,3,Entre 26 e 35,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
control,Off,On,On,Off,Off,0,Partido dos Trabalhadores (PT),Partido da Social Democracia (PSDB),Very Likely,Very Likely,Not Appropriate,0,0,0,0,“Curtir”,Preocupado,0,1,0,0,1,Entre 36 e 45,Man,Employed,Primário Completo,0,1,0,0,0,0,1,0,1,0
treatment,Off,On,Off,Off,Off,3,Outro,Movimento Democrático Brasileiro (MDB),Very unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,1,0,"""Ignorar”","Irritado,Triste,Preocupado",0,0,0,0,7,Entre 18 e 25,Man,Unemployed,Ensino Superior Incompleto,1,0,1,1,0,0,0,0,0,1
treatment,On,Off,Off,On,Off,2,Prefiro Não Responder,Partido dos Trabalhadores (PT),Very unlikely,Very Likely,Somewhat Unappropriate,0,0,1,0,"""Ignorar”",Triste,0,0,0,0,3,Entre 26 e 35,Feminino,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,0,1,1,0,0,0,1,0,0
treatment,On,Off,Off,On,Off,10,Partido Social Liberal (PSL),Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,0,0,1,0,"""Ignorar”",Preocupado,0,0,0,0,4,Entre 26 e 35,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,0
control,Off,Off,Off,Off,On,0,Nenhum,Todos igualmente,Somewhat Likely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,“Curtir”,Indiferente,0,1,0,0,5,Entre 26 e 35,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
control,Off,Off,Off,Off,On,10,Nenhum,Todos igualmente,Very unlikely,Somewhat unlikely,Not Appropriate,0,0,0,0,"""Ignorar”",Indiferente,0,0,0,1,10,Entre 18 e 25,NA,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,0,Não Sei,Não sei,Somewhat Likely,Somewhat unlikely,Not Appropriate,1,0,0,0,"""Ignorar”","Enojado,Estressado",0,0,0,0,5,Entre 26 e 35,Man,Employed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,0,1
treatment,Off,Off,Off,Off,On,5,Nenhum,Prefiro não Responder,Very Likely,Somewhat Likely,Not Appropriate,0,0,1,0,"""Ignorar”",Preocupado,0,0,0,0,3,Entre 56 e 65,Man,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,0,1,1,0,0,0,0,0,1
treatment,On,Off,Off,On,Off,9,Prefiro Não Responder,Prefiro não Responder,Very unlikely,Somewhat unlikely,Very Appropriate,0,0,0,1,“Curtir”,Preocupado,0,0,0,0,6,Entre 56 e 65,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
treatment,On,Off,Off,On,Off,1,Outro,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat unlikely,Somewhat Appropriate,1,0,0,0,"“Retuitar""",Preocupado,0,0,0,0,6,Mais do que 65,Man,Employed,Ensino Superior Completo,0,0,1,0,1,0,0,0,0,0
treatment,On,Off,Off,On,Off,0,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Somewhat Appropriate,0,0,1,0,"""Ignorar”",Triste,0,0,0,0,5,Entre 56 e 65,Feminino,Employed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,1,0,0
treatment,Off,Off,Off,Off,On,5,Nenhum,Todos igualmente,Very unlikely,Very unlikely,Somewhat Unappropriate,0,1,0,0,"""Ignorar”",Indiferente,0,0,0,0,3,Entre 56 e 65,Man,Unemployed,Pós-graduação,0,1,0,0,0,0,1,0,0,1
treatment,On,Off,Off,On,Off,0,Não Sei,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat Likely,Not Appropriate,0,0,0,1,"""Ignorar”",-999,0,0,0,0,3,Mais do que 65,Feminino,Unemployed,Ensino Superior Incompleto,1,1,0,0,0,1,0,0,0,0
treatment,Off,Off,Off,Off,On,10,Prefiro Não Responder,Prefiro não Responder,Somewhat unlikely,Somewhat unlikely,Not Appropriate,0,0,0,1,“Responder/Reply”,"Triste,Preocupado",0,0,0,0,5,Mais do que 65,Feminino,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,4,Não Sei,Não sei,Very unlikely,Somewhat unlikely,Somewhat Unappropriate,0,0,1,0,"""Ignorar”","Irritado,Enojado,Preocupado",0,0,0,0,5,Entre 56 e 65,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,0,1
treatment,On,Off,Off,On,Off,10,Partido Liberal (PL),Democratas (DEM),Somewhat Likely,Somewhat Likely,Not Appropriate,1,0,0,0,“Responder/Reply”,Indiferente,0,0,0,0,8,Entre 46 e 55,Man,Employed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,0,1
treatment,Off,Off,Off,Off,On,4,Nenhum,Prefiro não Responder,Very unlikely,Somewhat Likely,Not Appropriate,0,0,0,1,“Curtir”,Preocupado,0,0,0,0,2,Entre 46 e 55,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
control,On,Off,Off,Off,Off,7,Outro,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Somewhat Appropriate,0,0,0,0,“Curtir”,Preocupado,0,0,1,0,7,Mais do que 65,Man,Unemployed,Pós-graduação,1,0,1,1,0,0,0,0,0,0
treatment,Off,Off,Off,Off,On,-999,Nenhum,Todos igualmente,Very unlikely,Somewhat unlikely,Not Appropriate,1,0,0,0,"""Ignorar”",Preocupado,0,0,0,0,NA,Mais do que 65,Feminino,Unemployed,Primário Completo,0,0,1,0,1,0,0,0,0,1
control,On,Off,Off,On,Off,7,Partido Trabalhista Brasileiro (PTB),Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Somewhat Appropriate,0,0,0,0,“Curtir”,Otimista,1,0,0,0,7,Entre 56 e 65,Man,Employed,Pós-graduação,0,0,1,0,1,0,0,0,0,0
control,Off,On,On,Off,Off,1,Outro,Partido da Social Democracia (PSDB),Very unlikely,Somewhat unlikely,Not Appropriate,0,0,0,0,"“Retuitar""","Irritado,Preocupado",0,0,0,1,9,Entre 56 e 65,Man,Unemployed,Ensino Superior Completo,1,1,0,0,0,1,0,0,0,1
control,On,Off,Off,On,Off,-999,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,"""Ignorar”",Indiferente,0,1,0,0,6,Mais do que 65,Man,Unemployed,Pós-graduação,0,1,0,0,0,0,1,1,0,0
treatment,On,Off,Off,On,Off,2,Partido Social Liberal (PSL),Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,"“Retuitar""",Otimista,0,0,0,0,NA,Mais do que 65,Man,Unemployed,Ensino Superior Completo,0,1,0,0,0,0,1,0,0,0
treatment,On,Off,Off,Off,Off,8,Partido da Social Democracia (PSDB),Partido dos Trabalhadores (PT),Very unlikely,Somewhat Likely,Very Appropriate,0,0,0,1,“Curtir”,Preocupado,0,0,0,0,4,Entre 56 e 65,Man,Unemployed,Ensino Superior Completo,1,1,0,0,0,1,0,0,0,0
control,Off,Off,Off,Off,On,2,Nenhum,Todos igualmente,Very Likely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,“Curtir”,Preocupado,0,1,0,0,6,Mais do que 65,Man,Unemployed,Ensino Superior Incompleto,0,1,0,0,0,0,1,0,0,1
treatment,Off,Off,Off,Off,On,8,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,"""Ignorar”",Irritado,0,0,0,0,7,Entre 56 e 65,Feminino,Unemployed,Ensino Superior Completo,0,1,0,0,0,0,1,1,0,0
treatment,On,Off,Off,On,Off,8,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Very Appropriate,0,1,0,0,"""Ignorar”",Irritado,0,0,0,0,8,Entre 56 e 65,Feminino,Unemployed,Ensino Superior Completo,0,1,0,0,0,0,1,1,0,0
treatment,On,Off,Off,On,Off,10,Outro,Partido dos Trabalhadores (PT),Very Likely,Somewhat unlikely,Somewhat Appropriate,0,1,0,0,“Curtir”,Otimista,0,0,0,0,3,Mais do que 65,Man,Unemployed,Ensino Superior Completo,0,1,0,0,0,0,1,0,0,0
treatment,On,Off,Off,On,Off,1,Movimento Democrático Brasileiro (MDB),Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Somewhat Appropriate,0,1,0,0,"“Retuitar""",Contente,0,0,0,0,8,Mais do que 65,Man,Unemployed,Segundo Grau/Ensino Médio Incompleto,0,1,0,0,0,0,1,0,0,0
control,Off,Off,Off,Off,On,2,Nenhum,Prefiro não Responder,Very unlikely,Somewhat unlikely,Not Appropriate,0,0,0,0,"""Ignorar”",Irritado,1,0,0,0,7,Entre 56 e 65,Man,Employed,Pós-graduação,0,0,1,0,1,0,0,0,0,1
treatment,Off,On,On,Off,Off,0,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Very unlikely,Somewhat unlikely,Not Appropriate,0,1,0,0,"“Curtir”,“Retuitar""",Preocupado,0,0,0,0,7,Entre 56 e 65,Man,Employed,Ensino Superior Incompleto,0,1,0,0,0,0,1,0,1,0
treatment,On,Off,Off,On,Off,9,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Somewhat Unappropriate,0,1,0,0,“Curtir”,Preocupado,0,0,0,0,7,Mais do que 65,Man,Unemployed,Ensino Superior Completo,0,1,0,0,0,0,1,1,0,0
treatment,Off,Off,Off,Off,On,8,Nenhum,Partido dos Trabalhadores (PT),Somewhat unlikely,Very Likely,Somewhat Unappropriate,0,0,0,1,“Curtir”,Preocupado,0,0,0,0,6,Entre 56 e 65,Feminino,Employed,Pós-graduação,1,1,0,0,0,1,0,1,0,0
treatment,Off,Off,Off,Off,On,1,Nenhum,Todos igualmente,Somewhat Likely,Somewhat unlikely,Not Appropriate,1,0,0,0,“Curtir”,Otimista,0,0,0,0,4,Entre 56 e 65,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,1
control,On,Off,Off,Off,Off,10,Não Sei,Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat unlikely,Somewhat Appropriate,0,0,0,0,“Curtir”,Preocupado,0,0,0,1,4,Entre 56 e 65,Feminino,Employed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,0
control,Off,Off,Off,Off,On,3,Nenhum,Todos igualmente,Somewhat Likely,Very Likely,Not Appropriate,0,0,0,0,"""Ignorar”",Enojado,0,0,0,1,7,Mais do que 65,Man,Unemployed,Pós-graduação,1,1,0,0,0,1,0,0,0,1
control,Off,Off,Off,Off,On,7,Prefiro Não Responder,Prefiro não Responder,Very unlikely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Preocupado,0,0,1,0,6,Entre 56 e 65,Feminino,Employed,Pós-graduação,1,0,1,1,0,0,0,0,0,1
control,On,Off,Off,On,Off,6,Partido Social Democrático (PSD),Partido dos Trabalhadores (PT),Very unlikely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,“Curtir”,Contente,1,0,0,0,6,Entre 56 e 65,Man,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,0
treatment,On,Off,Off,Off,Off,9,Partido dos Trabalhadores (PT),Democratas (DEM),Somewhat Likely,Very Likely,Not Appropriate,0,1,0,0,"“Curtir”,“Responder/Reply”","Otimista,Estressado,Preocupado",0,0,0,0,7,Entre 56 e 65,Man,Unemployed,Primário Completo,0,1,0,0,0,0,1,0,1,0
treatment,Off,On,On,Off,Off,1,Outro,Todos igualmente,Somewhat unlikely,Somewhat unlikely,Not Appropriate,0,1,0,0,"“Curtir”,“Retuitar""","Triste,Preocupado",0,0,0,0,6,Entre 56 e 65,Feminino,Employed,Pós-graduação,0,1,0,0,0,0,1,0,0,1
treatment,Off,Off,Off,On,On,6,Nenhum,Partido dos Trabalhadores (PT),Very Likely,Somewhat Likely,Somewhat Appropriate,1,0,0,0,“Curtir”,Preocupado,0,0,0,0,4,Entre 46 e 55,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,1,0,0
treatment,On,Off,Off,Off,Off,10,Prefiro Não Responder,Não sei,Very unlikely,Somewhat Likely,Very Appropriate,1,0,0,0,“Curtir”,Otimista,0,0,0,0,4,Entre 56 e 65,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,0,0,1,0,1,0,0,0,0,1
treatment,Off,Off,Off,Off,On,-999,Partido da Social Democracia (PSDB),Partido dos Trabalhadores (PT),Very Likely,Somewhat Likely,Not Appropriate,1,0,0,0,"""Ignorar”",Enojado,0,0,0,0,NA,Entre 56 e 65,Man,Unemployed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,0,0
treatment,Off,On,On,Off,Off,0,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Very unlikely,Somewhat Likely,Not Appropriate,0,0,0,1,"“Curtir”,“Retuitar""",Preocupado,0,0,0,0,4,Entre 56 e 65,Man,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,1,0
treatment,On,Off,Off,On,Off,7,Partido Progressista (PP),Partido Progressista (PP),Very unlikely,Somewhat Likely,Somewhat Appropriate,0,0,0,1,"""Ignorar”",Triste,0,0,0,0,6,Entre 56 e 65,Feminino,Unemployed,Ensino Superior Incompleto,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,5,Nenhum,Todos igualmente,Very Likely,Somewhat unlikely,Somewhat Appropriate,1,0,0,0,“Curtir”,"Contente,Preocupado",0,0,0,0,5,Entre 56 e 65,Man,Employed,Ensino Superior Incompleto,0,0,1,0,1,0,0,0,0,1
control,On,Off,Off,Off,Off,6,Partido da Social Democracia (PSDB),Partido dos Trabalhadores (PT),Somewhat Likely,Somewhat unlikely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Estressado,0,1,0,0,8,Entre 46 e 55,Man,Employed,Pós-graduação,0,1,0,0,0,0,1,0,0,0
treatment,On,Off,Off,On,Off,0,Partido Social Liberal (PSL),Partido dos Trabalhadores (PT),Very unlikely,Somewhat Likely,Very Appropriate,0,1,0,0,"“Curtir”,“Retuitar""",Otimista,0,0,0,0,5,Mais do que 65,Man,Employed,Primário Completo,0,1,0,0,0,0,1,0,0,0
treatment,On,Off,Off,On,Off,8,Prefiro Não Responder,Partido dos Trabalhadores (PT),Very unlikely,Very unlikely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”",Preocupado,0,0,0,0,1,Mais do que 65,Feminino,Unemployed,Ensino Superior Incompleto,1,1,0,0,0,1,0,1,0,0
treatment,Off,On,On,Off,Off,0,Partido dos Trabalhadores (PT),Partido Social Liberal (PSL),Somewhat unlikely,Very unlikely,Not Appropriate,0,0,1,0,"""Ignorar”",Preocupado,0,0,0,0,6,Entre 56 e 65,Man,Employed,Segundo Grau/Ensino Médio Completo,1,0,1,1,0,0,0,0,1,0
treatment,Off,On,Off,Off,Off,-999,Nenhum,Partido Social Liberal (PSL),Somewhat unlikely,Somewhat Likely,Not Appropriate,0,0,0,1,"“Retuitar""",Estressado,0,0,0,0,7,Entre 56 e 65,Feminino,Unemployed,Ensino Superior Completo,1,1,0,0,0,1,0,0,0,1
treatment,Off,Off,Off,Off,On,5,Não Sei,Todos igualmente,Somewhat Likely,Somewhat unlikely,Not Appropriate,0,1,0,0,"""Ignorar”","Triste,Preocupado",0,0,0,0,5,Mais do que 65,Man,Unemployed,Segundo Grau/Ensino Médio Incompleto,0,1,0,0,0,0,1,0,0,1
control,Off,Off,Off,Off,On,5,Nenhum,Não sei,Very Likely,Somewhat Likely,Somewhat Unappropriate,0,0,0,0,"""Ignorar”",Preocupado,0,0,1,0,1,Mais do que 65,Man,Unemployed,Segundo Grau/Ensino Médio Incompleto,1,0,1,1,0,0,0,0,0,1
control,Off,Off,Off,Off,On,0,Nenhum,Todos igualmente,Very unlikely,Somewhat unlikely,Not Appropriate,0,0,0,0,"""Ignorar”",Enojado,0,0,1,0,7,Entre 56 e 65,Man,Unemployed,Pós-graduação,1,0,1,1,0,0,0,0,0,1
treatment,Off,On,Off,Off,Off,1,Prefiro Não Responder,Movimento Democrático Brasileiro (MDB),Very unlikely,Very Likely,Not Appropriate,0,0,0,1,"""Ignorar”",Preocupado,0,0,0,0,6,Entre 56 e 65,Man,Employed,Pós-graduação,1,1,0,0,0,1,0,0,0,1
control,Off,Off,Off,Off,On,1,Outro,Partido Social Democrático (PSD),Somewhat Likely,Somewhat Likely,Somewhat Appropriate,0,0,0,0,“Curtir”,Preocupado,0,1,0,0,5,Entre 46 e 55,Feminino,Employed,Segundo Grau/Ensino Médio Completo,0,1,0,0,0,0,1,0,0,1
treatment,On,Off,Off,On,Off,2,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Somewhat Unappropriate,1,0,0,0,"""Ignorar”",Preocupado,0,0,0,0,6,Entre 56 e 65,Man,Unemployed,Ensino Superior Incompleto,0,0,1,0,1,0,0,1,0,0
treatment,Off,Off,Off,Off,On,5,Nenhum,Todos igualmente,Somewhat unlikely,Somewhat Likely,Somewhat Unappropriate,0,0,0,1,"""Ignorar”",Enojado,0,0,0,0,4,Entre 56 e 65,Feminino,Employed,Pós-graduação,1,1,0,0,0,1,0,0,0,1
treatment,On,Off,Off,On,Off,6,Nenhum,Partido dos Trabalhadores (PT),Very unlikely,Somewhat unlikely,Very Appropriate,1,0,0,0,“Curtir”,Otimista,0,0,0,0,5,Mais do que 65,Man,Unemployed,Pós-graduação,0,0,1,0,1,0,0,1,0,0
treatment,Off,Off,Off,Off,On,5,Nenhum,Todos igualmente,Somewhat Likely,Somewhat unlikely,Not Appropriate,0,0,0,1,“Curtir”,Enojado,0,0,0,0,2,Entre 46 e 55,Feminino,Unemployed,Segundo Grau/Ensino Médio Completo,1,1,0,0,0,1,0,0,0,1
